ID;code;labelKey;descriptionKey;isMandatory;isActive;displayOrder;version
c1a2c3d4-e5f6-7890-abcd-ef1234567801;essential_processing;consent.essential.label;consent.essential.description;true;true;10;1
c1a2c3d4-e5f6-7890-abcd-ef1234567802;marketing_email;consent.marketing.label;consent.marketing.description;false;true;20;1
c1a2c3d4-e5f6-7890-abcd-ef1234567803;data_analytics;consent.analytics.label;consent.analytics.description;false;true;30;1
c1a2c3d4-e5f6-7890-abcd-ef1234567804;third_party_sharing;consent.thirdParty.label;consent.thirdParty.description;false;true;40;1
