ID;pageType;metaTitleTemplate;metaDescriptionTemplate;ogTitleTemplate;ogDescriptionTemplate;canonicalUrlPattern;language;active
a1b2c3d4-e5f6-7890-abcd-ef12345b0001;listing_detail;{{brand}} {{model}} {{year}} - Achat voiture occasion | Auto;Achetez {{brand}} {{model}} {{year}} a {{city}} pour {{price}} EUR. Vehicule certifie avec historique verifie sur Auto.;{{brand}} {{model}} {{year}} | Auto;Decouvrez cette {{brand}} {{model}} {{year}} a {{price}} EUR sur Auto.;/annonces/{{id}};fr;true
a1b2c3d4-e5f6-7890-abcd-ef12345b0002;search_results;{{query}} - Recherche voitures occasion | Auto;{{count}} annonces correspondant a votre recherche {{query}} a {{city}}. Trouvez votre vehicule certifie sur Auto.;Recherche {{query}} | Auto;{{count}} resultats pour {{query}} sur Auto.;/recherche;fr;true
a1b2c3d4-e5f6-7890-abcd-ef12345b0003;brand_page;{{brand}} occasion - Toutes les annonces | Auto;Decouvrez {{count}} annonces {{brand}} d'occasion certifiees sur Auto. Prix competitifs et historique verifie.;{{brand}} occasion | Auto;{{count}} annonces {{brand}} sur Auto.;/marques/{{brand}};fr;true
a1b2c3d4-e5f6-7890-abcd-ef12345b0004;model_page;{{brand}} {{model}} occasion - Annonces | Auto;{{count}} annonces {{brand}} {{model}} d'occasion certifiees. Comparez les prix et trouvez la meilleure offre sur Auto.;{{brand}} {{model}} occasion | Auto;{{count}} annonces {{brand}} {{model}} sur Auto.;/marques/{{brand}}/{{model}};fr;true
a1b2c3d4-e5f6-7890-abcd-ef12345b0005;city_page;Voitures occasion a {{city}} | Auto;{{count}} vehicules d'occasion a {{city}}. Annonces certifiees avec historique verifie sur Auto.;Voitures occasion {{city}} | Auto;{{count}} vehicules a {{city}} sur Auto.;/villes/{{city}};fr;true
a1b2c3d4-e5f6-7890-abcd-ef12345b0006;landing_page;{{title}} | Auto;{{title}} - Decouvrez les meilleures offres de vehicules d'occasion certifies sur Auto.;{{title}} | Auto;{{title}} sur Auto.;/;fr;true
